muhatap_kodu,odeme_bicimi,vadesi_gecmis,ort_tahsilat_gun
M4126810,Kredi Kartı,0.0,0.0
M4125069,Peşin,0.0,0.0
M4125069,BELIRTILMEMIS,0.0,0.0
M4125069,Kredi Kartı,0.0,0.0
M4125046,BELIRTILMEMIS,0.0,0.0
M4125046,Kredi Kartı,0.0,0.0
M4124970,Kredi Kartı,0.0,0.0
M4125770,BELIRTILMEMIS,0.0,-1.0
M4134436,Kredi Kartı,0.0,0.0
M4134436,Çek,0.0,0.0
M4134140,Kredi Kartı,0.0,0.0
M4134213,Kredi Kartı,0.0,0.0
M4134420,Kredi Kartı,0.0,0.0
M4134281,Kredi Kartı,0.0,0.0
M4125469,Havale,0.0,0.0
M4125469,BELIRTILMEMIS,0.0,-3.0
M4125462,BELIRTILMEMIS,0.0,0.0
M4125810,BELIRTILMEMIS,0.0,0.0
M4125987,Kredi Kartı,0.0,0.0
M4126023,Kredi Kartı,0.0,0.0
M4126042,Kredi Kartı,0.0,0.0
M4125436,BELIRTILMEMIS,0.0,0.0
M4125436,Havale,0.0,-73.0
M4125436,Kredi Kartı,0.0,-1.0
M4125829,Kredi Kartı,0.0,651.0
M4125829,BELIRTILMEMIS,0.0,0.0
M4125396,BELIRTILMEMIS,0.0,0.0
M4125478,BELIRTILMEMIS,0.0,0.0
M4125480,BELIRTILMEMIS,0.0,0.0
M4125735,BELIRTILMEMIS,0.0,0.0
M4125939,Kredi Kartı,0.0,0.0
M4125939,BELIRTILMEMIS,0.0,0.0
M4125332,BELIRTILMEMIS,0.0,0.0
M4125332,Peşin,0.0,0.0
M4125476,Havale,0.0,0.0
M4125476,BELIRTILMEMIS,0.0,0.0
M4125476,Kredi Kartı,0.0,1.0
M4125439,Kredi Kartı,0.0,0.0
M4125439,BELIRTILMEMIS,0.0,0.0
M4125439,Peşin,0.0,0.0
M4125439,Havale,0.0,0.0
M4125780,BELIRTILMEMIS,0.0,0.0
M4125780,Kredi Kartı,0.0,0.0
M4134527,BELIRTILMEMIS,0.0,0.0
M4134527,Kredi Kartı,0.0,0.0
